Species	RSD	ANI	Reads	Sample
Acetobacter aceti	0.1617114867636564	88.73009542148053	2337	CRF1D7
Acetobacter ascendens	0.5660726829574999	93.8621112540193	1555	CRF1D7
Acetobacter cerevisiae	0.9204063611647418	89.68407198306281	1417	CRF1D7
Acetobacter cibinogensis	1.6635699660363683	86.37128667413214	893	CRF1D7
Acetobacter fabarum	0.10664640010483954	97.5563204039154	35552	CRF1D7
Acetobacter ghanensis	0.13763304533254525	96.90898447241501	8501	CRF1D7
Acetobacter indonesiensis	0.39307699258345674	91.197195256917	1265	CRF1D7
Acetobacter lambici	0.4983122792593739	88.61193051575931	4188	CRF1D7
Acetobacter malorum	0.34974503600871	86.81255617198336	721	CRF1D7
Acetobacter nitrogenifigens	0.2651902767971274	85.6314993270525	743	CRF1D7
Acetobacter okinawensis	0.12388226246460804	95.810977321238	7496	CRF1D7
Acetobacter orientalis	0.3982314320023581	89.02886550308008	974	CRF1D7
Acetobacter orleanensis	1.0185024751547693	85.79239248434239	479	CRF1D7
Acetobacter oryzifermentans	0.5480963936098949	92.91144668008049	1988	CRF1D7
Acetobacter papayae	0.11502418646091325	89.98697986629354	12864	CRF1D7
Acetobacter pasteurianus	0.2558869690918618	97.23034271485702	13253	CRF1D7
Acetobacter peroxydans	0.1393732247896159	87.04354746455179	4161	CRF1D7
Acetobacter persici	0.14547880975123148	95.3110335483871	5425	CRF1D7
Acetobacter pomorum	0.4501546864396389	92.39881427530955	1373	CRF1D7
Acetobacter senegalensis	0.11502815449975148	94.9005793408087	2943	CRF1D7
Acetobacter syzygii	0.3601255545931847	93.59592528089888	1780	CRF1D7
Acetobacter tropicalis	0.35549959855704694	93.68601604554866	1932	CRF1D7
Acholeplasma axanthum	0.3589569934607922	75.65215023827439	3987	CRF1D7
Acholeplasma brassicae	0.38002805662325534	75.29165086206896	464	CRF1D7
Acholeplasma equifetale	0.2581570937578294	75.25909695704057	3352	CRF1D7
Acholeplasma granularum	0.24287106342058343	75.09162922347362	3374	CRF1D7
Acholeplasma hippikon	0.40417257178661614	75.63432070240296	4328	CRF1D7
Acholeplasma laidlawii	0.3257818540798426	75.81087424633937	2322	CRF1D7
Acholeplasma modicum	0.3006203442906396	75.52247895944912	1307	CRF1D7
Acholeplasma multilocale	1.1653431646335017	76.80866666666667	6	CRF1D7
Acholeplasma oculi	0.3673430211938132	75.97086101605686	3799	CRF1D7
Acholeplasma palmae	0.30958376953003963	76.49792276695769	7445	CRF1D7
Acinetobacter albensis	1.1820361874198406	79.72509154929577	142	CRF1D7
Acinetobacter apis	0.8953294162220294	75.65786764705882	68	CRF1D7
Acinetobacter baumannii	0.6953261927804426	77.70877606177606	259	CRF1D7
Acinetobacter baylyi	0.6489297435920324	77.03568041237114	194	CRF1D7
Acinetobacter beijerinckii	0.5529167003756217	78.47150458715596	109	CRF1D7
Acinetobacter bereziniae	0.27491600639867037	82.24902192982456	228	CRF1D7
Acinetobacter bohemicus	0.6202966985206383	78.1190606060606	198	CRF1D7
Acinetobacter boissieri	1.2392970535052183	77.5585	114	CRF1D7
Acinetobacter bouvetii	0.19615911058022245	84.51228152309614	1602	CRF1D7
Acinetobacter brisouii	0.9067718757488511	77.6544966442953	149	CRF1D7
Acinetobacter calcoaceticus	0.3754549922637315	76.67571578947368	95	CRF1D7
Acinetobacter celticus	0.3977049223071037	80.14331102362205	254	CRF1D7
Acinetobacter colistiniresistens	0.5614280933589739	80.02673426573426	143	CRF1D7
Acinetobacter cumulans	0.5089040160067569	85.32093352601156	692	CRF1D7
Acinetobacter defluvii	1.1843942182099856	82.3569798657718	298	CRF1D7
Acinetobacter equi	0.3759214450678118	80.11301581027668	253	CRF1D7
Acinetobacter gandensis	0.2948337011227497	89.41799607072691	509	CRF1D7
Acinetobacter gerneri	1.3445086469414824	82.11228476084538	899	CRF1D7
Acinetobacter guillouiae	1.0657343549567924	76.36967045454546	264	CRF1D7
Acinetobacter gyllenbergii	0.2939986033263119	78.23643537414966	147	CRF1D7
Acinetobacter haemolyticus	0.4707380259907021	83.13770731707316	164	CRF1D7
Acinetobacter halotolerans	0.5191911982388868	76.29717948717949	78	CRF1D7
Acinetobacter harbinensis	1.0350437717232046	77.92120143884893	139	CRF1D7
Acinetobacter idrijaensis	0.8231663784328752	81.32337923250564	443	CRF1D7
Acinetobacter indicus	0.6650821198303334	80.7486972972973	185	CRF1D7
Acinetobacter johnsonii	0.626212656310541	82.26247413793104	232	CRF1D7
Acinetobacter junii	0.2824447254895037	80.39445454545455	88	CRF1D7
Acinetobacter kookii	0.5596504415972933	81.34698214285714	112	CRF1D7
Acinetobacter kyonggiensis	0.565442958580003	78.63436222910217	323	CRF1D7
Acinetobacter lactucae	0.6892143618315698	76.67732692307692	52	CRF1D7
Acinetobacter larvae	0.6156340994038257	73.52689130434783	138	CRF1D7
Acinetobacter lwoffii	0.8499927442350363	79.80093641618497	173	CRF1D7
Acinetobacter marinus	0.48029598638762916	77.94309900990099	303	CRF1D7
Acinetobacter nectaris	0.7953125807212968	76.14986713286713	143	CRF1D7
Acinetobacter nosocomialis	1.1765594305057232	79.12936879432624	141	CRF1D7
Acinetobacter oleivorans	0.8912771812269886	77.05837323943662	142	CRF1D7
Acinetobacter parvus	0.40246090165305837	79.78255944055944	143	CRF1D7
Acinetobacter piscicola	0.28414464208214585	80.21516911764706	136	CRF1D7
Acinetobacter pittii	0.6270865147241715	79.03412903225806	93	CRF1D7
Acinetobacter populi	0.13060154133703908	96.7615371721139	28516	CRF1D7
Acinetobacter pragensis	0.1496221709934767	83.13306842105263	1330	CRF1D7
Acinetobacter proteolyticus	0.4824051456730259	79.04742696629214	178	CRF1D7
Acinetobacter qingfengensis	0.09695806843648624	93.95161737089202	2982	CRF1D7
Acinetobacter radioresistens	1.1207204164501114	80.95735393258427	178	CRF1D7
Acinetobacter rudis	0.7617973290086579	77.252	151	CRF1D7
Acinetobacter schindleri	1.1045269328406486	79.94866145833333	192	CRF1D7
Acinetobacter seifertii	0.5721756998314178	78.26125654450261	191	CRF1D7
Acinetobacter soli	0.7299808027053445	78.26752941176471	85	CRF1D7
Acinetobacter tandoii	0.7805312932274953	80.3960432276657	347	CRF1D7
