Species	Covered_bases	Breadth	TotalBases	Average_coverage	Average_coverage_on_covered_area
Acetobacter aceti	17031	0.47931644426057185	19026	0.0053546325339097174	1.1171393341553637
Acetobacter ascendens	28243	0.8781939980696709	30570	0.009505502432811614	1.0823920971568177
Acetobacter cerevisiae	20710	0.6706447677888444	24887	0.008059071142424419	1.2016900048285852
Acetobacter cibinogensis	14505	0.46713666960056194	18036	0.005808532901010503	1.2434332988624612
Acetobacter fabarum	1355669	44.7755687654449	2077137	0.6860449754235727	1.5321859539459854
Acetobacter ghanensis	966497	33.98448488292282	1277453	0.4491848621066016	1.3217350907452377
Acetobacter indonesiensis	62929	1.8417697660479144	66629	0.019500592372674996	1.058796421363759
Acetobacter lambici	63766	1.8470440372537131	73721	0.02135400267703494	1.1561176802684816
Acetobacter malorum	11772	0.30708422330021107	12281	0.0032036199000593716	1.0432381923207612
Acetobacter okinawensis	502601	15.87372925144114	595634	0.18812005644542873	1.1851030937065385
Acetobacter orientalis	211106	7.252784478176817	224203	0.0770274666925941	1.0620399230718218
Acetobacter orleanensis	6003	0.19919406539060355	6549	0.0021731166654057345	1.0909545227386306
Acetobacter oryzifermentans	45502	1.4647837993662756	49701	0.015999564769087787	1.092281657949101
Acetobacter papayae	287214	9.444473673826403	314581	0.10344384231917608	1.0952843524340736
Acetobacter pasteurianus	332411	11.145781256863197	370009	0.12406446769423077	1.113106966977627
Acetobacter peroxydans	13991	0.5175227560574317	15320	0.005666820543778039	1.0949896361946967
Acetobacter persici	353679	9.553843847372537	394582	0.10658746527172805	1.1156500668685447
Acetobacter pomorum	28468	0.85435200935381606	33095	0.009932127212858136	1.1625333708023042
Acetobacter senegalensis	221267	5.631944736095256	237933	0.060561471294560534	1.0753207663140008
Acetobacter syzygii	89056	3.3138719268280887	97249	0.03618742488008722	1.0919982932087675
Acetobacter tropicalis	121174	3.2965995570400084	126718	0.03447426862767556	1.0457523891263802
Acholeplasma laidlawii	537	0.03587193518736239	725	4.843045253414848e-4	1.3500931098696463
Acholeplasma modicum	559	0.04585048967338703	559	4.585048967338703e-4	1
Acinetobacter baumannii	1693	0.020239827006265382	1693	2.023982700626538e-4	1
Acinetobacter baylyi	896	0.02480861235407981	896	2.480861235407981e-4	1
Acinetobacter bereziniae	3222	0.06409986050024152	3504	6.971009037642653e-4	1.0875232774674115
Acinetobacter cumulans	1124	0.03180651677043873	1124	3.180651677043873e-4	1
Acinetobacter defluvii	1313	0.03513350867085896	1718	4.5970577225084306e-4	1.3084539223153084
Acinetobacter gandensis	35398	1.1144216832118314	35967	0.01132335292391659	1.0160743544833042
Acinetobacter gerneri	13459	0.29289436826303783	14031	0.0030534221569943412	1.0424994427520617
Acinetobacter idrijaensis	1210	0.031454151415085875	1506	3.914872068687548e-4	1.2446280991735537
Acinetobacter indicus	469	0.015232376562536537	469	1.5232376562536538e-4	1
Acinetobacter johnsonii	567	0.015713322486429593	567	1.571332248642959e-4	1
Acinetobacter lwoffii	928	0.028834068943874545	928	2.8834068943874545e-4	1
Acinetobacter nosocomialis	450	0.011518154146689068	450	1.1518154146689069e-4	1
Acinetobacter piscicola	488	0.013645975304140266	488	1.3645975304140266e-4	1
Acinetobacter populi	934756	25.354802205331485	1171682	0.31781304808471095	1.253462935782172
Acinetobacter pragensis	1062	0.02865323328264607	1250	3.372555706526138e-4	1.177024482109228
Acinetobacter proteolyticus	644	0.014721177694215538	644	1.4721177694215537e-4	1
Acinetobacter qingfengensis	6683	0.21278214807765355	7024	0.0022363935479536713	1.0510249887774952
Acinetobacter radioresistens	790	0.02472237399882209	790	2.472237399882209e-4	1
Acinetobacter seifertii	401	0.009476110512716657	401	9.476110512716657e-5	1
Acinetobacter soli	1000	0.03002594541943693	1000	3.0025945419436933e-4	1
Acinetobacter tandoii	542	0.013287824577179952	542	1.3287824577179952e-4	1
Acinetobacter towneri	5261	0.17819678805454903	7840	0.002655508113186969	1.4902109865044668
Acinetobacter ursingii	2611	0.07384594847074402	3969	0.0011225376081209614	1.520107238605898
Acinetobacter variabilis	566	0.016167913205157394	793	2.2652217617826525e-4	1.401060070671378
Acinetobacter venetianus	455	0.013156890277896656	455	1.3156890277896656e-4	1
Acinetobacter wuhouensis	316	0.008210617939940369	476	1.236789284623929e-4	1.5063291139240507
Agrilactobacillus composti	7383	0.21401836215512982	19571	0.0056732403707680425	2.65081945008804
Agrobacterium deltaense	21740	0.4114337709911182	22633	0.004283339714278739	1.0410763569457222
Agrobacterium pusense	2194	0.04152457653070302	2194	4.1524576530703016e-4	1
Agrobacterium salinitolerans	1414	0.02833405571148637	1414	2.833405571148637e-4	1
Agrobacterium tumefaciens	1160	0.021123862316122243	1160	2.1123862316122243e-4	1
Amylolactobacillus amylophilus	14053	0.9025870136142724	38454	0.024697986922026065	2.736355226641998
Amylolactobacillus amylotrophicus	12074	0.7796890800908711	33031	0.02133005632307567	2.7357131025343713
Apilactobacillus apinorum	4142	0.28365200241056265	7420	0.0050813564893442175	1.791405118300338
Apilactobacillus kosoi	464	0.03256455712904127	789	5.537378356640853e-4	1.7004310344827587
Apilactobacillus kunkeei	195673	12.925119740642858	291384	0.19247280363195118	1.4891374895872196
Apilactobacillus ozensis	317	0.021419570189634144	534	3.6082178174336383e-4	1.6845425867507886
Arcobacter butzleri	5114	0.21843023238431075	5407	0.0023094490936682996	1.057293703558858
Arcobacter lanthieri	534	0.02334152763741778	534	2.334152763741778e-4	1
Arthrobacter oryzae	495	0.011478508406094323	495	1.1478508406094323e-4	1
Arthrobacter rhombi	858	0.025792448944929516	858	2.5792448944929515e-4	1
Bacillus aciditolerans	2251	0.03801047981518565	13629	0.0023013986201739904	6.054642381163927
Bacillus aryabhattai	469	0.009204230491986726	469	9.204230491986727e-5	1
Bacillus azotoformans	984	0.02329960809775038	2609	6.177711130795807e-4	2.6514227642276422
Bacillus coagulans	619	0.018384345685099026	619	1.8384345685099027e-4	1
Bacillus eiseniae	682	0.0124655529432322	7559	0.0013816292477696805	11.083577712609971
Bacillus fumarioli	308	0.009349749226368964	576	1.7485245306456246e-4	1.87012987012987
Bacillus gibsonii	1255	0.03060905432899831	1255	3.060905432899831e-4	1
Bacillus kyonggiensis	1098	0.022778098174018033	8917	0.0018498388107260364	8.12112932604736
Bacillus lehensis	764	0.019133133804465886	764	1.9133133804465885e-4	1
Bacillus mesonae	2465	0.042443462380973206	4599	7.918762007711796e-4	1.8657200811359027
Bacillus plakortidis	1091	0.027496608919587412	1326	3.341934319649213e-4	1.2153987167736022
Bacillus pseudalcaliphilus	1200	0.02674147147620945	1547	3.447421364474668e-4	1.2891666666666666
Bacillus rubiinfantis	837	0.01942189578586629	1421	3.297313490049701e-4	1.6977299880525687
Bacteroides reticulotermitis	43342	0.8078239375480637	43910	0.008184105278421732	1.0131050712934335
Bacteroides xylanolyticus	582	0.01033886059716335	582	1.033886059716335e-4	1
Bombilactobacillus mellifer	3691	0.20335561558461024	17641	0.009719307544102164	4.7794635600108375
Bradyrhizobium embrapense	977	0.01181688258784165	977	1.1816882587841649e-4	1
Bradyrhizobium jicamae	290	0.0033185159688132733	290	3.3185159688132734e-5	1
Bradyrhizobium mercantei	660	0.007463651170656724	660	7.463651170656724e-5	1
Bradyrhizobium pachyrhizi	310	0.0035583214043477867	310	3.558321404347787e-5	1
Bradyrhizobium tropiciagri	2618	0.026803684206323255	2618	2.6803684206323254e-4	1
Bradyrhizobium viridifuturi	4513	0.05121470662132506	4513	5.121470662132506e-4	1
Burkholderia brachyanthoides	1685	0.04752460279585687	7686	0.002167798795780154	4.561424332344214
Burkholderia pumila	1263	0.0343092499422067	3676	9.985811780487083e-4	2.910530482977039
Burkholderia verschuerenii	510	0.008241118982367237	1568	0.00025337401106572213	3.074509803921569
Candida albicans	623	0.004304581103801001	623	4.3045811038010004e-5	1
