Species	Covered_bases	Breadth	TotalBases	Average_coverage	Average_coverage_on_covered_area	Sample	Genus
Acetobacter aceti	104269	2.9345221259236434	117242	0.032996311759731056	1.1244185711956574	CRF1D7	Acetobacter
Acetobacter ascendens	158578	4.930858896926399	220788	0.0686523019671446	1.3922990578768808	CRF1D7	Acetobacter
Acetobacter cerevisiae	42353	1.3715025519150614	68952	0.022328487700906036	1.6280310721790665	CRF1D7	Acetobacter
Acetobacter cibinogensis	25649	0.8260316055556575	44148	0.014217959110324445	1.7212366953877345	CRF1D7	Acetobacter
Acetobacter fabarum	2387320	78.84934362674217	8381284	2.7682034337638695	3.5107501298527217	CRF1D7	Acetobacter
Acetobacter ghanensis	1278413	44.952242244551215	1937836	0.6813922676178367	1.5158137472006308	CRF1D7	Acetobacter
Acetobacter indonesiensis	133268	3.9004111487815387	159326	0.046630617004139584	1.1955308100969475	CRF1D7	Acetobacter
Acetobacter lambici	119534	3.462418247170677	185723	0.053796468295152805	1.5537252999146687	CRF1D7	Acetobacter
Acetobacter malorum	24564	0.6407761519832131	27023	0.007049215907442749	1.1001058459534279	CRF1D7	Acetobacter
Acetobacter nitrogenifigens	24294	0.5688773909288714	26010	0.006090598887815899	1.0706347246233638	CRF1D7	Acetobacter
Acetobacter okinawensis	990006	31.267520759612964	1428928	0.45130065781411666	1.4433528685684733	CRF1D7	Acetobacter
Acetobacter orientalis	115881	3.9812223154036723	124994	0.04294309697806945	1.078641019666727	CRF1D7	Acetobacter
Acetobacter orleanensis	17915	0.5944630487210831	22861	0.007585832965008475	1.276081495953112	CRF1D7	Acetobacter
Acetobacter oryzifermentans	247741	7.975187975007701	301671	0.09711282878524541	1.217687019911924	CRF1D7	Acetobacter
Acetobacter papayae	738790	24.293671984952713	974669	0.32050094045536454	1.3192774672098972	CRF1D7	Acetobacter
Acetobacter pasteurianus	1689886	56.6620830990416	3107801	1.0420494549175778	1.8390595578636666	CRF1D7	Acetobacter
Acetobacter peroxydans	43934	1.6251050507202633	76393	0.028257534060106768	1.7388127646014477	CRF1D7	Acetobacter
Acetobacter persici	808348	21.835705728459693	1047181	0.28287242821698266	1.295458144264599	CRF1D7	Acetobacter
Acetobacter pomorum	120866	3.627304691673399	183770	0.055151141196765056	1.5204441282080983	CRF1D7	Acetobacter
Acetobacter senegalensis	484113	12.322206483683887	575938	0.14659443059368227	1.1896767903361405	CRF1D7	Acetobacter
Acetobacter syzygii	238270	8.8662893460893	290098	0.10794866356326073	1.2175179418306963	CRF1D7	Acetobacter
Acetobacter tropicalis	295761	8.046326617836417	337061	0.09169913870099711	1.1396397767116015	CRF1D7	Acetobacter
Acholeplasma axanthum	3608	0.1996543677436456	5160	0.002855367343562115	1.4301552106430155	CRF1D7	Acholeplasma
Acholeplasma brassicae	1175	0.0625734905676454	1863	9.92122663212965e-4	1.5855319148936171	CRF1D7	Acholeplasma
Acholeplasma equifetale	369	0.028774801695607824	547	4.2655329342811604e-4	1.4823848238482384	CRF1D7	Acholeplasma
Acholeplasma granularum	881	0.060610688808487426	1075	7.39574239150102e-4	1.2202043132803633	CRF1D7	Acholeplasma
Acholeplasma hippikon	1036	0.07242471080798993	1036	7.242471080798993e-4	1	CRF1D7	Acholeplasma
Acholeplasma laidlawii	2417	0.16145710865522328	4438	0.0029646117013317373	1.8361605295821266	CRF1D7	Acholeplasma
Acholeplasma modicum	1763	0.14460539050837448	2208	0.0018110533309273445	1.2524106636415202	CRF1D7	Acholeplasma
Acholeplasma oculi	1879	0.11742487682574122	3449	0.002155393295220764	1.8355508249068653	CRF1D7	Acholeplasma
Acholeplasma palmae	7122	0.4582336322382352	22319	0.014360174723287237	3.1338107273237856	CRF1D7	Acholeplasma
Acinetobacter baumannii	2768	0.03309145962985385	2768	3.309145962985385e-4	1	CRF1D7	Acinetobacter
Acinetobacter baylyi	2473	0.06847287762459751	2473	6.847287762459752e-4	1	CRF1D7	Acinetobacter
Acinetobacter bereziniae	9387	0.1867490349210947	9899	0.00196934984199842	1.054543517630766	CRF1D7	Acinetobacter
Acinetobacter bohemicus	951	0.025999987970562872	951	2.599998797056287e-4	1	CRF1D7	Acinetobacter
Acinetobacter bouvetii	19120	0.5642078574796787	22233	0.006560686869950679	1.1628138075313807	CRF1D7	Acinetobacter
Acinetobacter calcoaceticus	799	0.020332558202265948	799	2.0332558202265947e-4	1	CRF1D7	Acinetobacter
Acinetobacter celticus	934	0.030189391564166033	934	3.0189391564166033e-4	1	CRF1D7	Acinetobacter
Acinetobacter colistiniresistens	1114	0.02858107532575755	1381	3.5431297149794596e-4	1.23967684021544	CRF1D7	Acinetobacter
Acinetobacter cumulans	12044	0.3408164483835979	12748	0.0036073796778429974	1.0584523414148124	CRF1D7	Acinetobacter
Acinetobacter defluvii	5127	0.13718926043830457	7121	0.0019054509919663874	1.3889213965281841	CRF1D7	Acinetobacter
Acinetobacter equi	1051	0.03441085248221424	1051	3.441085248221424e-4	1	CRF1D7	Acinetobacter
Acinetobacter gandensis	39851	1.2546137775488642	41651	0.01311282488486807	1.045168251737723	CRF1D7	Acinetobacter
Acinetobacter gerneri	14333	0.3119143309543147	28316	0.006162119720437015	1.9755808274611038	CRF1D7	Acinetobacter
Acinetobacter guillouiae	1101	0.02245892373002538	1101	2.2458923730025377e-4	1	CRF1D7	Acinetobacter
Acinetobacter gyllenbergii	1744	0.038318334839847375	1744	3.8318334839847375e-4	1	CRF1D7	Acinetobacter
Acinetobacter haemolyticus	1364	0.038826306929357186	1701	4.8419023524073733e-4	1.247067448680352	CRF1D7	Acinetobacter
